"block_id","Row_drug","Col_drug","HSA_score","SampleID"
153,"Onalespib","Duvelisib",9.568,"CLL2"
154,"Onalespib","Ibrutinib",13.172,"CLL2"
155,"Onalespib","MK-2206",8.548,"CLL2"
156,"Onalespib","Selumetinib",4.613,"CLL2"
157,"PRT062607","Duvelisib",10.062,"CLL2"
158,"PRT062607","Ibrutinib",9.512,"CLL2"
159,"PRT062607","MK-2206",9.687,"CLL2"
160,"PRT062607","Selumetinib",8.838,"CLL2"
161,"Quizartinib","Duvelisib",-0.558,"CLL2"
162,"Quizartinib","Ibrutinib",-0.543,"CLL2"
163,"Quizartinib","MK-2206",1.454,"CLL2"
164,"Quizartinib","Selumetinib",-0.619,"CLL2"
165,"Ruxolitinib","Duvelisib",5.156,"CLL2"
166,"Ruxolitinib","Ibrutinib",1.584,"CLL2"
167,"Ruxolitinib","MK-2206",4.852,"CLL2"
168,"Ruxolitinib","Selumetinib",3.237,"CLL2"
169,"Selinexor","Duvelisib",9.297,"CLL2"
170,"Selinexor","Ibrutinib",10.046,"CLL2"
171,"Selinexor","MK-2206",9.45,"CLL2"
172,"Selinexor","Selumetinib",5.291,"CLL2"
173,"Selumetinib","Duvelisib",8.908,"CLL2"
174,"Selumetinib","Ibrutinib",7.048,"CLL2"
175,"Selumetinib","MK-2206",9.362,"CLL2"
176,"Selumetinib","Selumetinib",6.659,"CLL2"
177,"Tipifarnib","Duvelisib",10.668,"CLL2"
178,"Tipifarnib","Ibrutinib",9.759,"CLL2"
179,"Tipifarnib","MK-2206",6.65,"CLL2"
180,"Tipifarnib","Selumetinib",9.46,"CLL2"
181,"Trametinib","Duvelisib",9.582,"CLL2"
182,"Trametinib","Ibrutinib",5.459,"CLL2"
183,"Trametinib","MK-2206",8.794,"CLL2"
184,"Trametinib","Selumetinib",4.78,"CLL2"
185,"Venetoclax","Duvelisib",12.491,"CLL2"
186,"Venetoclax","Ibrutinib",13.041,"CLL2"
187,"Venetoclax","MK-2206",7.087,"CLL2"
188,"Venetoclax","Selumetinib",9.712,"CLL2"
189,"Vismodegib","Duvelisib",-1.564,"CLL2"
190,"Vismodegib","Ibrutinib",-2.874,"CLL2"
191,"Vismodegib","MK-2206",1.171,"CLL2"
192,"Vismodegib","Selumetinib",-0.541,"CLL2"
193,"AZD8055","Duvelisib",4.703,"CLL3"
194,"AZD8055","Ibrutinib",2.262,"CLL3"
195,"AZD8055","MK-2206",5.351,"CLL3"
196,"AZD8055","Selumetinib",8.689,"CLL3"
197,"Birinapant","Duvelisib",-5.906,"CLL3"
